__time,/cosine,/dict/a,/dict/b,/float,/int,/list[0],/list[1],/list[2],/mug/attitude/pitch,/mug/attitude/roll,/mug/attitude/yaw,/mug/position/x,/mug/position/y,/mug/position/z,/mug/setpoint/clamped pitch,/mug/setpoint/clamped roll,/mug/setpoint/yaw,/sine,/ts
1733870206.154110,0.996917334,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.125333234,
1733870206.164260,0.987688341,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.248689887,
1733870206.174420,0.972369920,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.368124553,
1733870206.196573,0.951056516,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.481753674,
1733870206.196600,0.923879533,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.587785252,
1733870206.213420,0.891006524,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.684547106,
1733870206.215338,0.852640164,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.770513243,
1733870206.225511,0.809016994,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.844327926,
1733870206.235763,0.760405966,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.904827052,
1733870206.246005,0.707106781,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.951056516,
1733870206.256285,0.649448048,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.982287251,
1733870206.266547,0.587785252,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.998026728,
1733870206.276817,0.522498565,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.998026728,
1733870206.287087,0.453990500,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.982287251,
1733870206.298025,0.382683432,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.951056516,
1733870206.307539,0.309016994,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.904827052,
1733870206.317805,0.233445364,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.844327926,
1733870206.328062,0.156434465,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.770513243,
1733870206.343106,0.078459096,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.684547106,
1733870206.348569,0.000000000,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.587785252,
1733870206.358849,-0.078459096,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.481753674,
1733870206.369112,-0.156434465,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.368124553,
1733870206.379389,-0.233445364,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.248689887,
1733870206.389687,-0.309016994,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.125333234,
1733870206.399899,-0.382683432,1.000000000,2.000000000,5.500000000,5.000000000,1.000000000,2.000000000,3.000000000,,,,,,,,,,0.000000000,
