Tue Dec  3 16:56:12 2024    output.prof

         331634 function calls (331610 primitive calls) in 21.284 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:455(format_frame_summary)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/tokenize.py:392(open)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:660(emit)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:780(_formatArray)
      7/1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/arrayprint.py:789(recurser)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.joystick.Joystick}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:845(format_exception_only)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:346(_walk_tb_with_full_positions)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:584(_extract_caret_anchors_from_line_segment)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/traceback.py:360(_get_code_position)
        1    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      7/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      7/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/ast.py:33(parse)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 /home/jski306/Documents/git/Crazyflie-Controller/.venv/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2692(max)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
